p_flip,p_loss,Pmin(auth),Pmax(auth),Pmin(MSK),Pmax(MSK),R_min(bytes),R_max(bytes),R_min(msgs),R_max(msgs),Pmin(auth_20),Pmax(auth_20)
0.01,0.0,0.0,1.0,0.0,0.0,0.0,Inf,0.0,Inf,0.0,1.0
0.01,0.02,0.0,1.0,0.0,0.0,0.0,Inf,0.0,Inf,0.0,1.0
0.01,0.04,0.0,1.0,0.0,0.0,0.0,Inf,0.0,Inf,0.0,1.0
0.02,0.0,0.0,1.0,0.0,0.0,0.0,Inf,0.0,Inf,0.0,1.0
0.02,0.02,0.0,1.0,0.0,0.0,0.0,Inf,0.0,Inf,0.0,1.0
0.02,0.04,0.0,1.0,0.0,0.0,0.0,Inf,0.0,Inf,0.0,1.0
0.05,0.0,0.0,1.0,0.0,0.0,0.0,Inf,0.0,Inf,0.0,1.0
0.05,0.02,0.0,1.0,0.0,0.0,0.0,Inf,0.0,Inf,0.0,1.0
0.05,0.04,0.0,1.0,0.0,0.0,0.0,Inf,0.0,Inf,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,Inf,0.0,Inf,0.0,1.0
0.0,0.02,0.0,1.0,0.0,0.0,0.0,Inf,0.0,Inf,0.0,1.0
0.0,0.04,0.0,1.0,0.0,0.0,0.0,Inf,0.0,Inf,0.0,1.0
